Humidity,Wind Speed,Pressure,Temperature,Weather Condition
81,2,997,25.9,Rainy
74,6,991,27.0,Cloudy
46,21,1019,32.6,Sunny
99,9,1019,22.6,Rainy
55,13,1001,29.8,Cloudy
65,2,999,29.5,Cloudy
87,21,1000,22.6,Stormy
96,29,1004,22.7,Stormy
91,13,1005,22.2,Rainy
99,29,1006,18.1,Stormy
88,16,1015,24.5,Rainy
41,7,991,34.2,Sunny
40,21,1001,32.9,Sunny
87,15,1015,26.9,Rainy
51,3,1012,31.0,Sunny
44,10,1007,30.8,Sunny
76,21,1021,26.3,Rainy
71,27,992,25.2,Cloudy
98,30,992,14.7,Stormy
94,2,1019,21.7,Rainy
48,7,990,32.8,Sunny
80,6,1019,29.0,Rainy
74,34,1021,23.5,Cloudy
58,15,1017,30.1,Sunny
87,13,1010,23.3,Rainy
55,21,1002,29.5,Cloudy
42,25,1016,32.2,Sunny
59,26,996,27.6,Cloudy
63,30,1011,22.8,Cloudy
93,32,999,17.4,Stormy
95,24,1004,18.6,Stormy
72,21,1004,25.5,Cloudy
63,24,993,25.2,Cloudy
91,17,1021,25.6,Rainy
50,9,1012,31.0,Sunny
88,22,995,21.1,Stormy
47,2,1013,36.7,Sunny
75,9,1009,30.7,Cloudy
77,30,1009,23.0,Rainy
79,33,1001,22.3,Rainy
59,6,1022,30.9,Sunny
74,23,1017,23.0,Cloudy
87,2,997,26.4,Rainy
64,27,990,24.9,Cloudy
74,11,1011,29.8,Cloudy
64,31,995,22.7,Cloudy
68,19,1010,28.6,Cloudy
57,18,1021,34.5,Sunny
85,27,1024,24.9,Rainy
57,9,1004,31.7,Sunny
41,13,994,32.9,Sunny
93,28,995,16.5,Stormy
74,9,1014,30.8,Cloudy
55,26,1018,29.5,Cloudy
80,5,996,26.8,Rainy
75,34,1002,20.3,Cloudy
72,2,1007,27.9,Cloudy
43,20,991,33.0,Sunny
72,32,997,22.5,Cloudy
53,17,1000,32.5,Sunny
60,15,1022,31.6,Sunny
87,6,1016,23.9,Rainy
59,27,1009,29.6,Cloudy
95,29,1001,18.1,Stormy
47,3,1020,37.6,Sunny
46,7,1016,35.6,Sunny
42,10,1021,34.2,Sunny
56,34,999,26.7,Cloudy
72,26,992,26.8,Cloudy
87,14,1016,26.0,Rainy
51,10,1024,34.8,Sunny
98,14,1020,24.9,Rainy
90,32,1004,20.2,Stormy
61,12,1005,30.3,Sunny
94,5,1002,22.0,Rainy
61,5,1024,33.9,Sunny
85,20,1000,24.3,Rainy
69,7,1010,28.5,Cloudy
77,19,1000,26.8,Rainy
77,14,1019,27.7,Rainy
84,24,1024,23.7,Rainy
90,20,1011,24.4,Rainy
93,12,1020,24.3,Rainy
47,2,1003,35.8,Sunny
66,25,1013,27.1,Cloudy
66,8,1021,31.5,Cloudy
73,26,1021,27.5,Cloudy
60,22,1004,28.8,Cloudy
69,16,1024,26.8,Cloudy
72,2,992,26.2,Cloudy
67,13,1005,29.9,Cloudy
86,8,994,23.7,Rainy
72,16,1010,26.7,Cloudy
44,22,999,29.2,Cloudy
99,20,1008,19.0,Rainy
87,30,1014,19.1,Stormy
58,26,993,26.6,Cloudy
43,34,1018,30.7,Sunny
74,33,1008,22.3,Cloudy
88,27,991,19.6,Stormy
56,12,999,30.9,Sunny
83,9,1014,29.9,Rainy
67,15,1009,26.4,Cloudy
69,11,1008,30.5,Cloudy
68,3,1012,32.4,Cloudy
85,10,1013,24.9,Rainy
92,4,1000,24.3,Rainy
45,22,1023,33.2,Sunny
74,27,1017,26.2,Cloudy
99,9,994,23.1,Rainy
80,3,994,27.0,Rainy
76,7,1010,29.0,Rainy
63,29,1001,25.4,Cloudy
68,30,993,21.6,Cloudy
88,27,1009,21.5,Stormy
85,26,1014,25.1,Rainy
92,13,1003,20.5,Rainy
70,6,1000,26.9,Cloudy
74,16,1021,28.5,Cloudy
99,16,1000,18.9,Rainy
72,24,1007,24.5,Cloudy
91,7,1016,25.0,Rainy
60,22,1007,26.6,Cloudy
71,24,1012,25.0,Cloudy
62,17,1000,29.4,Cloudy
72,16,1010,25.5,Cloudy
42,26,994,28.0,Cloudy
57,12,1012,30.8,Sunny
64,16,1014,30.8,Sunny
81,5,999,25.9,Rainy
70,22,1011,26.3,Cloudy
93,14,1008,23.0,Rainy
97,23,990,15.7,Stormy
42,20,996,32.4,Sunny
79,15,993,24.7,Rainy
85,5,990,23.6,Rainy
63,28,1004,28.1,Cloudy
89,30,1001,18.4,Stormy
71,29,1011,27.2,Cloudy
86,9,1011,26.0,Rainy
61,17,1006,28.7,Cloudy
62,31,1018,27.9,Cloudy
41,19,1003,32.8,Sunny
66,3,1009,32.9,Cloudy
81,14,1022,25.7,Rainy
41,5,1004,34.4,Sunny
65,27,1001,27.5,Cloudy
56,26,1009,28.2,Cloudy
79,31,1019,25.7,Rainy
72,12,992,28.6,Cloudy
48,8,1017,34.4,Sunny
82,32,1015,24.0,Rainy
93,11,1019,23.1,Rainy
87,14,1002,24.7,Rainy
78,32,1002,22.6,Rainy
68,8,991,28.2,Cloudy
81,21,991,21.4,Rainy
94,5,1015,22.7,Rainy
65,8,1000,30.0,Cloudy
74,2,997,24.9,Cloudy
89,14,1011,23.7,Rainy
64,23,1009,29.3,Cloudy
63,22,997,27.1,Cloudy
52,23,1018,34.5,Sunny
99,29,1015,21.3,Stormy
97,10,1019,23.2,Rainy
46,27,1006,30.8,Sunny
96,10,1009,23.1,Rainy
75,16,1005,23.8,Cloudy
84,11,996,22.6,Rainy
59,25,1005,27.3,Cloudy
40,9,1016,33.4,Sunny
47,25,1012,31.7,Sunny
85,17,1013,24.4,Rainy
55,27,998,25.3,Cloudy
53,28,1024,31.8,Sunny
51,5,1009,35.0,Sunny
90,25,1006,21.8,Stormy
62,20,1020,29.7,Cloudy
54,11,997,31.7,Sunny
67,26,1004,27.1,Cloudy
73,19,1020,28.4,Cloudy
41,20,1019,33.4,Sunny
71,11,1009,28.9,Cloudy
62,34,1001,27.2,Cloudy
61,6,1006,30.3,Sunny
90,34,1019,24.5,Stormy
64,22,1018,28.3,Cloudy
97,18,1008,21.4,Rainy
61,23,1000,26.4,Cloudy
97,16,1023,23.9,Rainy
97,29,996,15.3,Stormy
61,8,1023,32.1,Sunny
88,33,1009,19.1,Stormy
91,12,1013,24.6,Rainy
81,11,999,26.6,Rainy
45,10,1021,36.8,Sunny
54,15,1004,27.3,Cloudy
93,14,1009,26.2,Rainy
82,26,992,21.8,Rainy
99,3,997,21.2,Rainy
76,8,1012,28.5,Rainy
72,22,1000,25.5,Cloudy
47,19,997,29.9,Cloudy
92,4,1018,26.5,Rainy
99,12,1019,22.4,Rainy
83,25,999,21.5,Rainy
83,20,1017,24.2,Rainy
44,5,1002,32.5,Sunny
78,27,1021,25.7,Rainy
43,33,1015,32.3,Sunny
45,34,1011,31.1,Sunny
84,4,993,26.2,Rainy
71,10,1020,30.5,Cloudy
91,9,1007,23.4,Rainy
69,34,1013,26.5,Cloudy
86,7,1012,24.2,Rainy
74,5,1011,27.8,Cloudy
94,14,991,19.3,Rainy
79,3,1020,31.1,Rainy
91,6,1000,25.3,Rainy
55,28,1017,30.6,Sunny
52,33,1021,31.7,Sunny
89,22,994,19.4,Stormy
99,9,999,22.0,Rainy
81,9,1013,26.9,Rainy
69,4,1024,33.3,Cloudy
58,4,1012,32.8,Sunny
56,23,1006,28.7,Cloudy
95,7,990,22.5,Rainy
58,3,1020,35.4,Sunny
67,24,1020,27.3,Cloudy
97,3,1023,25.8,Rainy
94,18,998,19.3,Rainy
65,24,1011,24.0,Cloudy
76,31,1002,23.2,Rainy
65,9,1014,31.7,Cloudy
92,23,1007,21.9,Stormy
62,6,1001,27.5,Cloudy
48,14,1006,32.1,Sunny
51,30,1004,25.5,Cloudy
92,32,1004,21.5,Stormy
40,17,1004,32.0,Sunny
97,31,1002,20.2,Stormy
97,17,1006,22.7,Rainy
40,13,1021,35.0,Sunny
86,18,998,20.9,Rainy
73,17,1009,27.5,Cloudy
71,13,1015,27.6,Cloudy
93,9,1016,25.0,Rainy
87,21,1010,22.6,Stormy
64,4,1007,28.4,Cloudy
79,17,1002,21.5,Rainy
84,31,1005,21.9,Rainy
92,24,998,19.4,Stormy
40,29,1001,30.3,Sunny
55,6,1008,33.8,Sunny
78,21,996,25.3,Rainy
44,2,1024,37.4,Sunny
61,31,1007,26.3,Cloudy
68,22,1005,27.4,Cloudy
94,21,993,17.7,Stormy
42,7,1014,36.5,Sunny
51,23,1021,33.0,Sunny
65,19,1002,28.5,Cloudy
55,9,1006,29.1,Cloudy
90,33,995,17.5,Stormy
76,34,1008,21.8,Rainy
61,17,1002,28.9,Cloudy
96,13,1015,24.1,Rainy
68,15,1003,29.9,Cloudy
53,34,1020,28.9,Cloudy
67,24,993,24.4,Cloudy
44,3,997,36.1,Sunny
86,22,1014,24.2,Stormy
88,3,1002,27.2,Rainy
69,28,1021,27.7,Cloudy
85,10,1017,24.8,Rainy
91,2,1019,24.9,Rainy
44,12,992,29.9,Cloudy
51,4,1017,36.1,Sunny
55,24,992,29.4,Cloudy
65,27,1023,31.4,Cloudy
65,5,1005,31.7,Cloudy
87,19,1011,25.5,Rainy
60,7,1021,32.2,Sunny
78,23,997,21.6,Rainy
75,16,997,26.5,Cloudy
72,23,995,25.0,Cloudy
69,13,1003,28.0,Cloudy
76,19,1021,28.0,Rainy
62,31,1024,29.1,Cloudy
97,25,999,21.0,Stormy
49,31,992,29.6,Cloudy
93,15,1001,22.8,Rainy
44,7,1020,37.7,Sunny
75,4,1018,30.7,Cloudy
73,17,994,24.5,Cloudy
91,8,1014,26.4,Rainy
70,15,1020,27.2,Cloudy
49,10,1010,35.2,Sunny
97,16,1009,20.1,Rainy
58,22,1011,30.0,Sunny
97,3,993,21.0,Rainy
71,28,1002,25.4,Cloudy
40,3,1009,36.7,Sunny
95,19,1002,18.5,Rainy
44,15,1006,34.0,Sunny
84,21,1022,24.5,Rainy
43,19,990,32.2,Sunny
55,11,1004,31.4,Sunny
63,26,1002,27.3,Cloudy
55,3,1006,31.6,Sunny
94,26,1013,20.3,Stormy
41,34,997,28.8,Cloudy
88,32,1016,23.1,Stormy
67,15,1012,31.5,Cloudy
71,2,997,27.5,Cloudy
66,17,997,28.7,Cloudy
59,4,1015,29.8,Cloudy
63,7,1002,28.3,Cloudy
51,26,1017,29.7,Cloudy
89,14,1014,22.6,Rainy
74,9,1005,25.3,Cloudy
99,22,991,18.8,Stormy
72,5,1007,28.8,Cloudy
72,26,1006,25.8,Cloudy
90,16,1019,25.6,Rainy
82,5,1002,26.7,Rainy
76,13,1021,29.4,Rainy
51,33,1018,29.9,Cloudy
42,33,1019,30.3,Sunny
40,29,1007,33.4,Sunny
72,14,1002,26.0,Cloudy
79,32,1010,21.7,Rainy
49,15,1019,33.5,Sunny
82,21,1010,23.0,Rainy
83,19,1006,23.4,Rainy
68,30,1008,26.1,Cloudy
52,7,1004,33.3,Sunny
51,33,998,26.3,Cloudy
70,30,999,23.3,Cloudy
85,3,1020,29.8,Rainy
41,24,1012,33.8,Sunny
90,20,1019,27.0,Rainy
89,32,1022,24.1,Stormy
74,6,998,29.1,Cloudy
62,20,990,24.5,Cloudy
56,11,1024,34.7,Sunny
65,26,1000,25.9,Cloudy
47,3,1023,36.1,Sunny
68,12,1005,28.7,Cloudy
65,32,998,26.1,Cloudy
49,16,1021,34.6,Sunny
65,10,1004,28.1,Cloudy
73,24,1001,25.9,Cloudy
90,20,1022,23.3,Rainy
80,10,1003,26.3,Rainy
46,22,997,30.1,Sunny
43,10,997,33.1,Sunny
97,29,1016,21.5,Stormy
92,8,1001,21.9,Rainy
89,17,990,24.1,Rainy
84,17,1000,20.7,Rainy
50,34,1020,29.4,Cloudy
68,5,1006,30.4,Cloudy
95,5,1022,26.7,Rainy
75,18,1021,27.6,Cloudy
64,30,1018,27.6,Cloudy
60,8,1010,32.2,Sunny
96,28,1010,19.7,Stormy
75,29,1012,26.8,Cloudy
49,23,995,30.7,Sunny
76,15,1011,28.2,Rainy
48,8,997,31.2,Sunny
63,23,1024,29.8,Cloudy
74,6,1000,27.2,Cloudy
88,3,1013,25.2,Rainy
74,28,1010,25.4,Cloudy
87,22,991,20.0,Stormy
75,16,1008,27.6,Cloudy
57,22,1017,28.9,Cloudy
88,11,1006,27.0,Rainy
78,24,995,21.6,Rainy
71,6,1008,29.6,Cloudy
63,2,1017,34.0,Sunny
62,14,991,26.9,Cloudy
71,22,993,25.9,Cloudy
76,27,1011,22.9,Rainy
51,22,1015,33.8,Sunny
88,19,1002,22.5,Rainy
94,33,1021,20.0,Stormy
52,18,1006,30.6,Sunny
62,12,1008,31.4,Sunny
64,22,1024,29.0,Cloudy
74,27,1017,24.8,Cloudy
80,5,990,25.0,Rainy
69,19,1007,25.5,Cloudy
56,30,1022,32.7,Sunny
88,30,1001,19.5,Stormy
59,22,997,28.9,Cloudy
87,14,1013,25.2,Rainy
64,18,1005,26.8,Cloudy
61,10,993,28.9,Cloudy
52,2,1016,36.3,Sunny
98,3,998,22.4,Rainy
58,30,1005,29.2,Cloudy
88,34,1001,21.2,Stormy
75,11,1020,30.3,Cloudy
51,22,1013,30.7,Sunny
80,29,1003,20.9,Rainy
58,12,1014,30.8,Sunny
51,9,1023,35.2,Sunny
48,23,992,30.2,Sunny
46,9,1013,31.6,Sunny
67,16,998,27.1,Cloudy
53,18,1015,32.1,Sunny
70,24,1009,25.9,Cloudy
91,25,999,22.3,Stormy
58,20,1008,30.2,Sunny
97,6,992,23.6,Rainy
86,33,1013,21.4,Stormy
55,2,994,33.2,Sunny
92,24,992,21.9,Stormy
44,9,1016,37.6,Sunny
74,14,1005,25.2,Cloudy
51,9,1004,32.3,Sunny
64,24,1024,29.0,Cloudy
91,2,1001,25.5,Rainy
98,25,1015,21.8,Stormy
60,25,1023,28.8,Cloudy
75,18,1012,26.8,Cloudy
92,6,1020,23.1,Rainy
62,21,1009,30.8,Sunny
55,22,1001,28.3,Cloudy
96,32,1012,19.6,Stormy
78,12,993,24.4,Rainy
84,16,1012,26.8,Rainy
92,20,990,15.7,Rainy
81,8,1014,27.4,Rainy
97,29,991,17.2,Stormy
78,6,1019,28.4,Rainy
53,6,992,33.9,Sunny
70,31,1010,23.9,Cloudy
97,33,1014,20.6,Stormy
44,9,1009,35.3,Sunny
74,11,1011,30.0,Cloudy
62,33,1010,25.6,Cloudy
68,29,1022,26.4,Cloudy
82,18,1004,25.8,Rainy
50,32,1004,29.4,Cloudy
57,9,1014,30.2,Sunny
86,26,1010,21.8,Stormy
51,10,1013,34.1,Sunny
48,3,994,34.4,Sunny
49,16,995,29.7,Cloudy
97,4,1012,20.0,Rainy
83,5,993,25.8,Rainy
56,15,1016,30.1,Sunny
77,26,1007,21.2,Rainy
46,11,1010,29.9,Cloudy
85,22,1017,25.6,Rainy
52,13,1024,34.3,Sunny
79,28,1011,23.6,Rainy
81,3,1012,30.2,Rainy
48,14,992,31.9,Sunny
89,33,999,21.8,Stormy
66,32,1014,24.3,Cloudy
97,17,997,20.2,Rainy
41,33,1000,27.6,Cloudy
44,33,994,28.3,Cloudy
68,12,1018,29.7,Cloudy
76,11,994,26.5,Rainy
77,16,998,25.0,Rainy
58,18,991,28.9,Cloudy
47,19,990,31.1,Sunny
87,10,1019,29.6,Rainy
84,26,1000,21.4,Rainy
40,15,1017,34.1,Sunny
61,26,1001,27.4,Cloudy
91,23,1015,21.4,Stormy
56,31,1002,29.6,Cloudy
46,21,997,30.3,Sunny
64,22,1017,28.2,Cloudy
84,33,1019,22.2,Rainy
43,22,998,32.4,Sunny
75,33,1020,24.7,Cloudy
45,31,1010,29.8,Cloudy
99,13,1023,26.1,Rainy
70,19,1020,27.3,Cloudy
58,22,1014,30.0,Sunny
83,14,1001,25.3,Rainy
93,22,990,16.9,Stormy
78,9,1011,28.3,Rainy
66,8,990,26.3,Cloudy
49,24,990,29.9,Cloudy
65,33,1010,24.5,Cloudy
58,12,1004,31.6,Sunny
78,23,1006,26.1,Rainy
42,23,1011,34.2,Sunny
84,26,1024,25.1,Rainy
52,23,1005,29.7,Cloudy
89,29,997,19.0,Stormy
67,30,1006,27.8,Cloudy
97,14,1006,20.8,Rainy
59,19,1015,28.8,Cloudy
67,3,1002,31.0,Cloudy
47,30,1006,28.8,Cloudy
80,22,1006,22.7,Rainy
78,16,1003,23.2,Rainy
40,28,995,29.8,Cloudy
42,32,1024,32.8,Sunny
52,16,1003,31.4,Sunny
67,24,997,27.0,Cloudy
96,25,1004,20.7,Stormy
99,14,1016,22.3,Rainy
88,23,1002,21.4,Stormy
64,34,1020,28.0,Cloudy
95,4,1024,28.2,Rainy
72,20,995,25.1,Cloudy
77,24,994,22.3,Rainy
92,30,1011,19.2,Stormy
45,31,1012,28.8,Cloudy
97,26,1014,21.7,Stormy
83,9,1023,28.7,Rainy
84,17,1015,26.1,Rainy
71,9,994,26.8,Cloudy
84,2,1015,30.1,Rainy
86,6,1009,25.4,Rainy
60,4,995,31.9,Sunny
55,2,995,31.9,Sunny
